i,pos_init,d_min,b_min,delta_v,deflection_angle,collision
50,2.279730508474576e+11,4.077020328433497e+07,8.262067082568691e+06,1.013955938682024e+03,3.265666644871292e-01,0
51,2.279747457627119e+11,4.215593944509427e+07,8.397762994759373e+06,9.903800439646895e+02,3.105000855095902e-01,0
52,2.279764406779661e+11,4.356354508313832e+07,8.533045818361422e+06,9.675862413161848e+02,2.956033605183895e-01,0
53,2.279781355932203e+11,4.499096740686168e+07,8.667727478545118e+06,9.455672579474867e+02,2.817724062586424e-01,0
54,2.279798305084746e+11,4.643637935968828e+07,8.801652909840509e+06,9.243092491160713e+02,2.689130316616547e-01,0
55,2.279815254237288e+11,4.789815201185713e+07,8.934694825456906e+06,9.037936304840800e+02,2.569401277045164e-01,0
56,2.279832203389831e+11,4.937483261847062e+07,9.066749192901706e+06,8.839985156349510e+02,2.457768600432973e-01,0
57,2.279849152542373e+11,5.086512247439796e+07,9.197731388464503e+06,8.648998366361704e+02,2.353538919334748e-01,0
58,2.279866101694915e+11,5.236786003271421e+07,9.327572876645662e+06,8.464722080526499e+02,2.256086523847461e-01,0
59,2.279883050847458e+11,5.388200367039165e+07,9.456218344423953e+06,8.286895858087842e+02,2.164846577146742e-01,0
60,2.279900000000000e+11,5.540661813311429e+07,9.583623250216119e+06,8.115257649375314e+02,2.079308901369170e-01,0
