t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
1.44000000e+05,2.279138790192596e+11,3.450702884093956e+09,2.281102913920240e+11,3.548726618078595e+09,-3.652938919096836e+02,2.412712733714202e+04,1.032166973263108e+03,2.476377309264860e+04,2.195141740282213e+08,7.774717178446029e+06
1.44180000e+05,2.279138132249824e+11,3.455045766387481e+09,2.281104771536434e+11,3.553184103016321e+09,-3.657536325562688e+02,2.412712037211246e+04,1.031851007267025e+03,2.476383729860142e+04,2.197904319085478e+08,7.773979544886200e+06
1.44360000e+05,2.279137473479519e+11,3.459388647426511e+09,2.281106628583570e+11,3.557641599493613e+09,-3.662133730700525e+02,2.412711339832258e+04,1.031534686623019e+03,2.476390131011895e+04,2.200667190055383e+08,7.773244267427190e+06
1.44540000e+05,2.279136813881681e+11,3.463731527209470e+09,2.281108485061010e+11,3.562099107475535e+09,-3.666731134508676e+02,2.412710641577238e+04,1.031218012619842e+03,2.476396512790370e+04,2.203430354117012e+08,7.772511337576360e+06
1.44720000e+05,2.279136153456311e+11,3.468074405734782e+09,2.281110340968120e+11,3.566556626927279e+09,-3.671328536985473e+02,2.412709942446185e+04,1.030900986540192e+03,2.476402875265470e+04,2.206193808388400e+08,7.771780746893495e+06
1.44900000e+05,2.279135492203408e+11,3.472417283000870e+09,2.281112196304268e+11,3.571014157814163e+09,-3.675925938129245e+02,2.412709242439102e+04,1.030583609660731e+03,2.476409218506766e+04,2.208957553681036e+08,7.771052487001165e+06
1.45080000e+05,2.279134830122973e+11,3.476760159006157e+09,2.281114051068824e+11,3.575471700101633e+09,-3.680523337938324e+02,2.412708541555986e+04,1.030265883252127e+03,2.476415542583480e+04,2.211721588905840e+08,7.770326549436759e+06
1.45260000e+05,2.279134167215007e+11,3.481103033749065e+09,2.281115905261156e+11,3.579929253755246e+09,-3.685120736411041e+02,2.412707839796839e+04,1.029947808579094e+03,2.476421847564491e+04,2.214485913475957e+08,7.769602926065644e+06
1.45440000e+05,2.279133503479508e+11,3.485445907228019e+09,2.281117758880643e+11,3.584386818740692e+09,-3.689718133545726e+02,2.412707137161662e+04,1.029629386900410e+03,2.476428133518350e+04,2.217250526050677e+08,7.768881608484614e+06
1.45620000e+05,2.279132838916479e+11,3.489788779441441e+09,2.281119611926659e+11,3.588844395023779e+09,-3.694315529340710e+02,2.412706433650454e+04,1.029310619468960e+03,2.476434400513252e+04,2.220015426193842e+08,7.768162588534777e+06
1.45800000e+05,2.279132173525918e+11,3.494131650387754e+09,2.281121464398584e+11,3.593301982570455e+09,-3.698912923794325e+02,2.412705729263215e+04,1.028991507531772e+03,2.476440648617079e+04,2.222780613446921e+08,7.767445858030382e+06
1.45980000e+05,2.279131507307827e+11,3.498474520065382e+09,2.281123316295796e+11,3.597759581346771e+09,-3.703510316904898e+02,2.412705023999946e+04,1.028672052330065e+03,2.476446877897357e+04,2.225546086624105e+08,7.766731408916672e+06
1.46160000e+05,2.279130840262204e+11,3.502817388472747e+09,2.281125167617682e+11,3.602217191318908e+09,-3.708107708670764e+02,2.412704317860648e+04,1.028352255099238e+03,2.476453088421318e+04,2.228311845532993e+08,7.766019232922854e+06
1.46340000e+05,2.279130172389052e+11,3.507160255608274e+09,2.281127018363627e+11,3.606674812453160e+09,-3.712705099090251e+02,2.412703610845319e+04,1.028032117068952e+03,2.476459280255835e+04,2.231077889230054e+08,7.765309322079726e+06
1.46520000e+05,2.279129503688369e+11,3.511503121470384e+09,2.281128868533018e+11,3.611132444715938e+09,-3.717302488161691e+02,2.412702902953962e+04,1.027711639463136e+03,2.476465453467464e+04,2.233844217293222e+08,7.764601668390424e+06
