i,b,d_min,delta_v,delta_v_rel,deflection_angle,collision,t
140,5.530983263598329e+06,3.081466694150814e+06,2.794782662489823e+03,3.181059196636746e+03,2.289817686340997e+01,1,5.813999991908312e+04
141,5.814623430962346e+06,3.356521463261075e+06,2.636401197361974e+03,2.983933534171947e+03,2.200219046046348e+01,1,5.813999991908312e+04
142,6.098263598326363e+06,3.112742182030296e+06,2.618535714695907e+03,3.157245620366562e+03,2.719010708907835e+01,1,5.831999991846496e+04
143,6.381903765690380e+06,3.014994796607147e+06,2.450328953812765e+03,3.232976717411580e+03,3.274818519790284e+01,1,5.849999991784679e+04
144,6.665543933054396e+06,3.292126669356797e+06,2.360778242801454e+03,3.027711721989220e+03,3.061496612456569e+01,1,5.849999991784679e+04
145,6.949184100418413e+06,3.322654179111396e+06,2.130019810641690e+03,3.006786080245997e+03,3.528353283297797e+01,1,5.867999991722863e+04
146,7.232824267782430e+06,3.473780057297459e+06,-2.140926122517398e+03,-4.702904072654746e+00,8.050161545830593e+01,0,1.179000000948505e+05
147,7.516464435146446e+06,3.699897924357479e+06,-2.042922108326529e+03,-4.555997035952714e+00,7.833125931388173e+01,0,1.179000000948505e+05
148,7.800104602510463e+06,3.929454435021212e+06,-1.950411284174144e+03,-4.677922603018942e+00,7.625712656801605e+01,0,1.180800000955420e+05
149,8.083744769874480e+06,4.162223853279884e+06,-1.862853005014076e+03,-4.534967924044395e+00,7.427372217536018e+01,0,1.180800000955420e+05
150,8.367384937238497e+06,4.397997731165112e+06,-1.780291982689734e+03,-4.661230931305454e+00,7.237682878791519e+01,0,1.182600000962335e+05
151,8.651025104602514e+06,4.636582825360952e+06,-1.702322304548095e+03,-4.789432648439288e+00,7.056163500526297e+01,0,1.184400000969250e+05
152,8.934665271966530e+06,4.877800209991969e+06,-1.628513653107064e+03,-4.653549628415476e+00,6.882350890853988e+01,0,1.184400000969250e+05
153,9.218305439330548e+06,5.121483550971288e+06,-1.558966014693011e+03,-4.786454009097270e+00,6.715894940086258e+01,0,1.186200000976165e+05
154,9.501945606694564e+06,5.367479335799132e+06,-1.493082547108464e+03,-4.655284936083262e+00,6.556344334490082e+01,0,1.186200000976165e+05
155,9.785585774058580e+06,5.615645238670610e+06,-1.431006393560347e+03,-4.792990688853479e+00,6.403395633112004e+01,0,1.188000000983080e+05
156,1.006922594142260e+07,5.865848869437500e+06,-1.372138037034085e+03,-4.666651160968740e+00,6.256634985555503e+01,0,1.188000000983080e+05
157,1.035286610878661e+07,6.117967721275827e+06,-1.316663827441833e+03,-4.809179047514135e+00,6.115802928321911e+01,0,1.189800000989995e+05
158,1.063650627615063e+07,6.371888007338478e+06,-1.263986259871341e+03,-4.687711966613733e+00,5.980520146570590e+01,0,1.189800000989995e+05
159,1.092014644351465e+07,6.627504105870371e+06,-1.214120360350960e+03,-4.568336712608925e+00,5.850529993275241e+01,0,1.189800000989995e+05
160,1.120378661087867e+07,6.884717764156002e+06,-1.167110096016633e+03,-4.718430296180031e+00,5.725597062660464e+01,0,1.191600000996910e+05
161,1.148742677824268e+07,7.143437820298571e+06,-1.122363759496631e+03,-4.603930468609633e+00,5.605386754381927e+01,0,1.191600000996910e+05
162,1.177106694560670e+07,7.403578968154873e+06,-1.080165333844499e+03,-4.758689730065726e+00,5.489734523902945e+01,0,1.193400001003825e+05
163,1.205470711297072e+07,7.665062402068158e+06,-1.039928467210382e+03,-4.649014334949698e+00,5.378331464021287e+01,0,1.193400001003825e+05
164,1.233834728033473e+07,7.927814477220298e+06,-1.001969498593749e+03,-4.808318732639236e+00,5.271044507629166e+01,0,1.195200001010740e+05
165,1.262198744769875e+07,8.191766271091126e+06,-9.657073411825368e+02,-4.703397426336778e+00,5.167587153224758e+01,0,1.195200001010740e+05
166,1.290562761506277e+07,8.456853727847027e+06,-9.312518407491516e+02,-4.600528667672734e+00,5.067810223131269e+01,0,1.195200001010740e+05
167,1.318926778242678e+07,8.723017184582820e+06,-8.987323507491928e+02,-4.766853702154549e+00,4.971579709423998e+01,0,1.197000001017655e+05
168,1.347290794979080e+07,8.990200176721778e+06,-8.675737153614937e+02,-4.668620443341752e+00,4.878636743995267e+01,0,1.197000001017655e+05
169,1.375654811715481e+07,9.258350964201653e+06,-8.381587824973103e+02,-4.839133435813892e+00,4.788913767419435e+01,0,1.198800001024570e+05
170,1.404018828451883e+07,9.527420281788887e+06,-8.099164495421683e+02,-4.745433464338475e+00,4.702167281262630e+01,0,1.198800001024570e+05
171,1.432382845188285e+07,9.797362120696342e+06,-7.830038319784981e+02,-4.653701210115287e+00,4.618302011363331e+01,0,1.198800001024570e+05
172,1.460746861924686e+07,1.006813362356412e+07,-7.575923805171988e+02,-4.830695709908014e+00,4.537234789342347e+01,0,1.200600001031485e+05
173,1.489110878661088e+07,1.033969426388589e+07,-7.331148377948593e+02,-4.743347218013241e+00,4.458740561113201e+01,0,1.200600001031485e+05
174,1.517474895397490e+07,1.061200619027597e+07,-7.097501236870012e+02,-4.657909032237512e+00,4.382749549537093e+01,0,1.200600001031485e+05
175,1.545838912133892e+07,1.088503398472643e+07,-6.876890780421018e+02,-4.841051190672715e+00,4.309202753318078e+01,0,1.202400001038401e+05
176,1.574202928870293e+07,1.115874403338132e+07,-6.663671778410135e+02,-4.759838115214734e+00,4.237889168264168e+01,0,1.202400001038401e+05
177,1.602566945606695e+07,1.143310489263830e+07,-6.459811404190878e+02,-4.680477378088199e+00,4.168760640764396e+01,0,1.202400001038401e+05
178,1.630930962343097e+07,1.170808693201319e+07,-6.267374707757517e+02,-4.869429207828944e+00,4.101778314733372e+01,0,1.204200001045316e+05
179,1.659294979079498e+07,1.198366202859169e+07,-6.080736169124102e+02,-4.794132150043424e+00,4.036741940868008e+01,0,1.204200001045316e+05
180,1.687658995815900e+07,1.225980436144124e+07,-5.902007053260277e+02,-4.720626808780253e+00,3.973621508667625e+01,0,1.204200001045316e+05
181,1.716023012552302e+07,1.253648853489799e+07,-5.730764699484535e+02,-4.648896409613826e+00,3.912336754287131e+01,0,1.204200001045316e+05
182,1.744387029288703e+07,1.281369127802253e+07,-5.569242528876093e+02,-4.845453507623915e+00,3.852871265931284e+01,0,1.206000001052231e+05
183,1.772751046025105e+07,1.309139035858577e+07,-5.411823684301780e+02,-4.777583773641709e+00,3.795034603015028e+01,0,1.206000001052231e+05
184,1.801115062761507e+07,1.336956492206207e+07,-5.260774475545513e+02,-4.711428116313073e+00,3.738816926631604e+01,0,1.206000001052231e+05
185,1.829479079497908e+07,1.364819504830828e+07,-5.115767933517636e+02,-4.646971323023536e+00,3.684153391249806e+01,0,1.206000001052231e+05
186,1.857843096234310e+07,1.392726186494059e+07,-4.979165222995507e+02,-4.850588106045961e+00,3.631045719027649e+01,0,1.207800001059146e+05
187,1.886207112970712e+07,1.420674787488998e+07,-4.845352265656402e+02,-4.789793137720153e+00,3.579309587911739e+01,0,1.207800001059146e+05
188,1.914571129707113e+07,1.448663602387121e+07,-4.716713968183722e+02,-4.730638513868143e+00,3.528951733485067e+01,0,1.207800001059146e+05
189,1.942935146443515e+07,1.476691040835855e+07,-4.592994862314044e+02,-4.673107688936852e+00,3.479919186598602e+01,0,1.207800001059146e+05
190,1.971299163179917e+07,1.504755579692876e+07,-4.476653978436771e+02,-4.883262035996722e+00,3.432228898209394e+01,0,1.209600001066061e+05
191,1.999663179916319e+07,1.532855797541796e+07,-4.362076764602280e+02,-4.829203229446193e+00,3.385699597086615e+01,0,1.209600001066061e+05
192,2.028027196652720e+07,1.560990277341675e+07,-4.251738853730130e+02,-4.776712700236203e+00,3.340351835283200e+01,0,1.209600001066061e+05
193,2.056391213389122e+07,1.589157767982901e+07,-4.145439387946135e+02,-4.725776039633729e+00,3.296142180561488e+01,0,1.209600001066061e+05
194,2.084755230125523e+07,1.617357007427149e+07,-4.042988715333013e+02,-4.676377902344029e+00,3.253029149024687e+01,0,1.209600001066061e+05
195,2.113119246861925e+07,1.645586823189243e+07,-3.946938919321292e+02,-4.894326106759763e+00,3.211045292743163e+01,0,1.211400001072976e+05
196,2.141483263598327e+07,1.673846100596474e+07,-3.851667661260872e+02,-4.848180517281889e+00,3.170009979266862e+01,0,1.211400001072976e+05
197,2.169847280334729e+07,1.702133772975985e+07,-3.759738133052961e+02,-4.803521975613876e+00,3.129958298814205e+01,0,1.211400001072976e+05
198,2.198211297071130e+07,1.730448819361861e+07,-3.670999485727334e+02,-4.760336506273234e+00,3.090855846393124e+01,0,1.211400001072976e+05
199,2.226575313807532e+07,1.758790254189660e+07,-3.585309274638130e+02,-4.718610168878058e+00,3.052669840236179e+01,0,1.211400001072976e+05
200,2.254939330543933e+07,1.787157158063706e+07,-3.502532658239179e+02,-4.678329587753524e+00,3.015368911865630e+01,0,1.211400001072976e+05
201,2.283303347280335e+07,1.815548653677621e+07,-3.425301605147288e+02,-4.904971247671710e+00,2.979000755597987e+01,0,1.213200001079891e+05
202,2.311667364016737e+07,1.843963888323482e+07,-3.347982745200679e+02,-4.867704108096405e+00,2.943382583139665e+01,0,1.213200001079891e+05
203,2.340031380753139e+07,1.872402076608787e+07,-3.273214327881797e+02,-4.831834322197210e+00,2.908563410535697e+01,0,1.213200001079891e+05
204,2.368395397489540e+07,1.900862430284174e+07,-3.200888097166680e+02,-4.797350246899441e+00,2.874517084478998e+01,0,1.213200001079891e+05
205,2.396759414225942e+07,1.929344204357530e+07,-3.130901192120327e+02,-4.764239266726236e+00,2.841218471588378e+01,0,1.213200001079891e+05
206,2.425123430962344e+07,1.957846697414947e+07,-3.063155878714097e+02,-4.732489831352723e+00,2.808643420586090e+01,0,1.213200001079891e+05
207,2.453487447698745e+07,1.986369236938260e+07,-2.997559643549321e+02,-4.702088129285130e+00,2.776768919310017e+01,0,1.213200001079891e+05
208,2.481851464435147e+07,2.014911166472213e+07,-2.934024452565100e+02,-4.673024929551957e+00,2.745572798682529e+01,0,1.213200001079891e+05
209,2.510215481171548e+07,2.043471888746456e+07,-2.875253548051660e+02,-4.910321258024396e+00,2.715118992345220e+01,0,1.215000001086806e+05
