i,b,d_min,delta_v,deflection_angle,collision,t
28,-2.623671548117155e+07,2.158495009503974e+07,1.144038209967675e+00,2.589633921210717e+01,0,1.220400001107551e+05
29,-2.595307531380753e+07,2.129891646539666e+07,1.119867068717213e+00,2.617654891405413e+01,0,1.220400001107551e+05
30,-2.566943514644351e+07,2.101304044041662e+07,1.095940568965034e+00,2.646168742397634e+01,0,1.218600001100636e+05
31,-2.538579497907950e+07,2.072732731191134e+07,1.072259272374595e+00,2.675366501913606e+01,0,1.218600001100636e+05
32,-2.510215481171548e+07,2.044178259149134e+07,1.048823765022007e+00,2.705179849338958e+01,0,1.218600001100636e+05
33,-2.481851464435146e+07,2.015641202196914e+07,1.025634615477429e+00,2.735628294525907e+01,0,1.218600001100636e+05
34,-2.453487447698745e+07,1.987122158962858e+07,1.002692387005936e+00,2.766732163190584e+01,0,1.218600001100636e+05
35,-2.425123430962343e+07,1.958621753707936e+07,9.799976400763626e-01,2.798512638962642e+01,0,1.218600001100636e+05
36,-2.396759414225942e+07,1.930140637719100e+07,9.575509354435781e-01,2.830911616288616e+01,0,1.216800001093721e+05
37,-2.368395397489540e+07,1.901679490767680e+07,9.353528138371985e-01,2.864113596861403e+01,0,1.216800001093721e+05
38,-2.340031380753138e+07,1.873239022675329e+07,9.134038292249897e-01,2.898061341923487e+01,0,1.216800001093721e+05
39,-2.311667364016736e+07,1.844819974984630e+07,8.917045232751661e-01,2.932779940749064e+01,0,1.216800001093721e+05
40,-2.283303347280335e+07,1.816423122718985e+07,8.702554355768370e-01,2.968219095262357e+01,0,1.215000001086806e+05
41,-2.254939330543933e+07,1.788049276296138e+07,8.490570890230629e-01,3.004560258955703e+01,0,1.215000001086806e+05
42,-2.226575313807531e+07,1.759699283536329e+07,8.281100232593417e-01,3.041754448827340e+01,0,1.215000001086806e+05
43,-2.198211297071129e+07,1.731374031822658e+07,8.074147578618067e-01,3.079831571719238e+01,0,1.215000001086806e+05
44,-2.169847280334728e+07,1.703074450401219e+07,7.869718080019084e-01,3.118822909830186e+01,0,1.215000001086806e+05
45,-2.141483263598326e+07,1.674801512863109e+07,7.667816993698580e-01,3.158689542952302e+01,0,1.213200001079891e+05
46,-2.113119246861925e+07,1.646556239761870e+07,7.468449356674682e-01,3.199610144105943e+01,0,1.213200001079891e+05
47,-2.084755230125523e+07,1.618339701448657e+07,7.271620272222208e-01,3.241547857078645e+01,0,1.213200001079891e+05
48,-2.056391213389121e+07,1.590153021096309e+07,7.077334800715107e-01,3.284540291554764e+01,0,1.213200001079891e+05
49,-2.028027196652719e+07,1.561997377938526e+07,6.885597982377476e-01,3.328559021191273e+01,0,1.211400001072976e+05
50,-1.999663179916318e+07,1.533874010747982e+07,6.696414694733903e-01,3.373782198127548e+01,0,1.211400001072976e+05
51,-1.971299163179916e+07,1.505784221566408e+07,6.509789958049623e-01,3.420184258938182e+01,0,1.211400001072976e+05
52,-1.942935146443515e+07,1.477729379723191e+07,6.325728691899712e-01,3.467745643245053e+01,0,1.209600001066061e+05
53,-1.914571129707113e+07,1.449710926128140e+07,6.144235757719798e-01,3.516645502771313e+01,0,1.209600001066061e+05
54,-1.886207112970711e+07,1.421730377921227e+07,5.965316044912470e-01,3.566867892969680e+01,0,1.209600001066061e+05
55,-1.857843096234310e+07,1.393789333449920e+07,5.788974441420578e-01,3.618465656953472e+01,0,1.209600001066061e+05
56,-1.829479079497908e+07,1.365889477637136e+07,5.615215806001288e-01,3.671433151803684e+01,0,1.207800001059146e+05
57,-1.801115062761506e+07,1.338032587779383e+07,5.444044978180500e-01,3.725952414221327e+01,0,1.207800001059146e+05
58,-1.772751046025104e+07,1.310220539780393e+07,5.275466763891927e-01,3.782022695622400e+01,0,1.207800001059146e+05
59,-1.744387029288703e+07,1.282455314890442e+07,5.109486151573037e-01,3.839650452442535e+01,0,1.206000001052231e+05
60,-1.716023012552301e+07,1.254739006980665e+07,4.946107967616626e-01,3.899021967595594e+01,0,1.206000001052231e+05
61,-1.687658995815900e+07,1.227073830400972e+07,4.785337123530553e-01,3.960149807915516e+01,0,1.206000001052231e+05
62,-1.659294979079498e+07,1.199462128487789e+07,4.627178712617024e-01,4.023054452213944e+01,0,1.204200001045316e+05
63,-1.630930962343096e+07,1.171906382762533e+07,4.471637699111852e-01,4.087928400782617e+01,0,1.204200001045316e+05
64,-1.602566945606694e+07,1.144409222888034e+07,4.318719201023669e-01,4.154799741786834e+01,0,1.204200001045316e+05
65,-1.574202928870293e+07,1.116973437477288e+07,4.168428604380097e-01,4.223705335615765e+01,0,1.202400001038401e+05
66,-1.545838912133891e+07,1.089601985791435e+07,4.020771207237885e-01,4.294846347825586e+01,0,1.202400001038401e+05
67,-1.517474895397489e+07,1.062298010447477e+07,3.875752515391468e-01,4.368269097337141e+01,0,1.202400001038401e+05
68,-1.489110878661088e+07,1.035064851211427e+07,3.733378456850005e-01,4.444029725351717e+01,0,1.200600001031485e+05
69,-1.460746861924686e+07,1.007906059981936e+07,3.593654859428170e-01,4.522341098008422e+01,0,1.200600001031485e+05
70,-1.432382845188284e+07,9.808254170842186e+06,3.456588178996753e-01,4.603223098449526e+01,0,1.198800001024570e+05
71,-1.404018828451883e+07,9.538269489919156e+06,3.322185013121270e-01,4.686898697056370e+01,0,1.198800001024570e+05
72,-1.375654811715481e+07,9.269149476033024e+06,3.190452539802209e-01,4.773452224588220e+01,0,1.198800001024570e+05
73,-1.347290794979079e+07,9.000939912489455e+06,3.061398514446410e-01,4.862980133787954e+01,0,1.197000001017655e+05
74,-1.318926778242678e+07,8.733689675551672e+06,2.935031079732653e-01,4.955723797659479e+01,0,1.197000001017655e+05
75,-1.290562761506276e+07,8.467450983818986e+06,2.811359617921880e-01,5.051753183406918e+01,0,1.195200001010740e+05
76,-1.262198744769874e+07,8.202279669843341e+06,2.690394009250667e-01,5.151325029063472e+01,0,1.195200001010740e+05
77,-1.233834728033473e+07,7.938235476498139e+06,2.572145607477978e-01,5.254574700656476e+01,0,1.195200001010740e+05
78,-1.205470711297071e+07,7.675382380109392e+06,2.456627233614199e-01,5.361652835929237e+01,0,1.193400001003825e+05
79,-1.177106694560669e+07,7.413788942844115e+06,2.343853251954897e-01,5.472843885716830e+01,0,1.193400001003825e+05
80,-1.148742677824268e+07,7.153528697178382e+06,2.233840324279299e-01,5.588283663735965e+01,0,1.191600000996910e+05
81,-1.120378661087866e+07,6.894680565019167e+06,2.126607818672710e-01,5.708279137125849e+01,0,1.191600000996910e+05
82,-1.092014644351464e+07,6.637329314587743e+06,2.022178334195814e-01,5.832997809170141e+01,0,1.189800000989995e+05
83,-1.063650627615063e+07,6.381566058309919e+06,1.920578537406072e-01,5.962772540957999e+01,0,1.189800000989995e+05
84,-1.035286610878661e+07,6.127488794764891e+06,1.821840456168502e-01,6.097806070084960e+01,0,1.188000000983080e+05
85,-1.006922594142259e+07,5.875202998194284e+06,1.726002457189679e-01,6.238460740338890e+01,0,1.188000000983080e+05
86,-9.785585774058575e+06,5.624822258901775e+06,1.633111205510431e-01,6.384978209133315e+01,0,1.186200000976165e+05
87,-9.501945606694559e+06,5.376468977616546e+06,1.543223823068729e-01,6.537753950083297e+01,0,1.186200000976165e+05
88,-9.218305439330542e+06,5.130275117195768e+06,1.456411124654551e-01,6.697072159380954e+01,0,1.184400000969250e+05
89,-8.934665271966524e+06,4.886383013898352e+06,1.372761036896009e-01,6.863364872123660e+01,0,1.184400000969250e+05
90,-8.651025104602508e+06,4.644946250470920e+06,1.292384581206534e-01,7.036962019139547e+01,0,1.182600000962335e+05
